"pol","day"
-0.469941560646146,2021-01-26
-0.648249390842192,2021-01-26
-0.612425452659289,2021-01-26
-0.480196038399025,2021-01-26
-0.640035460010554,2021-01-26
-0.649311819864738,2021-01-26
-0.4,2021-01-26
-0.557801808120821,2021-01-26
-0.729442479524775,2021-01-26
-0.471605075797251,2021-01-26
-0.570153160883698,2021-01-26
-0.642317233593673,2021-01-26
-0.563876054093062,2021-01-26
-0.637777832305484,2021-01-26
-0.473286382647969,2021-01-26
-0.642317233593673,2021-01-26
-0.649311819864738,2021-01-26
-0.570153160883698,2021-01-26
-0.460317164455,2021-01-26
-0.559804693588781,2021-01-26
-0.811348084539376,2021-01-26
-0.561829310300774,2021-01-26
-0.568037557443755,2021-01-26
-0.646954963376649,2021-01-26
-0.644623586556778,2021-01-26
-0.458769875490663,2021-01-26
-0.481971260861367,2021-01-26
-0.570153160883698,2021-01-26
-0.568037557443755,2021-01-26
-0.651694623541534,2021-01-26
-0.702443288405956,2021-01-26
-0.568037557443755,2021-01-26
-0.568037557443755,2021-01-26
-0.563876054093062,2021-01-26
-0.553859696475815,2021-01-26
-0.39444674582777,2021-01-26
-0.565945330970279,2021-01-26
-0.86515270827357,2021-01-26
-0.646954963376649,2021-01-27
-0.626837435120165,2021-01-26
-0.469941560646146,2021-01-26
-0.724250652117206,2021-01-26
-0.79179465488863,2021-01-26
-0.714191126742164,2021-01-26
-0.326085354303834,2021-01-26
-0.476703657224899,2021-01-26
-0.410898052200696,2021-01-26
-0.387389883690599,2021-01-26
-0.480196038399025,2021-01-26
-0.446928655301868,2021-01-26
-0.557801808120821,2021-01-26
-0.649311819864738,2021-01-26
-0.413118223595458,2021-01-26
-0.2891589584049,2021-01-26
-0.565945330970279,2021-01-26
-0.568037557443755,2021-01-26
-0.201028284412967,2021-01-26
-0.540693067542567,2021-01-26
-0.640035460010554,2021-01-26
-0.568037557443755,2021-01-26
-0.634000411466058,2021-01-26
-0.531843156256751,2021-01-26
-0.77866282142766,2021-01-26
-0.565945330970279,2021-01-26
-0.473286382647969,2021-01-26
-0.538887743412299,2021-01-26
-0.644623586556778,2021-01-26
-0.341792963512332,2021-01-26
-0.478440288321386,2021-01-26
-0.570153160883698,2021-01-26
-0.555820267903902,2021-01-26
-0.563876054093062,2021-01-26
-0.644623586556778,2021-01-26
-0.651694623541534,2021-01-26
-0.490921158873185,2021-01-26
-0.555820267903902,2021-01-26
-0.711741064198036,2021-01-26
-0.651694623541534,2021-01-26
-0.563876054093062,2021-01-26
-0.481971260861367,2021-01-26
-0.559804693588781,2021-01-26
-0.563876054093062,2021-01-26
-0.811348084539376,2021-01-26
-0.559804693588781,2021-01-26
-0.576154513119967,2021-01-26
-0.572292579885919,2021-01-26
-0.726832659066524,2021-01-26
-0.471605075797251,2021-01-26
-0.55,2021-01-26
-0.559804693588781,2021-01-26
-0.561829310300774,2021-01-26
-0.805614103964821,2021-01-26
-0.654103854026141,2021-01-26
-0.540693067542567,2021-01-26
-0.673603986989643,2021-01-26
-0.6289804753378,2021-01-26
-0.631145646888424,2021-01-26
-0.729442479524775,2021-01-26
-0.553859696475815,2021-01-26
-0.714191126742164,2021-01-26
-0.521775813927782,2021-01-26
-0.640035460010554,2021-01-26
-0.55191972660468,2021-01-26
-0.572292579885919,2021-01-26
-0.732080616452524,2021-01-26
-0.635543927605389,2021-01-26
-0.474985800620784,2021-01-26
-0.568037557443755,2021-01-26
-0.702443288405956,2021-01-26
-0.561829310300774,2021-01-26
-0.561829310300774,2021-01-26
-0.407340061773852,2021-01-26
-0.714191126742164,2021-01-27
-0.557801808120821,2021-01-26
-0.632224666710403,2021-01-26
-0.766163409088917,2021-01-26
-0.714191126742164,2021-01-26
-0.408603134764199,2021-01-26
-0.570153160883698,2021-01-26
-0.555820267903902,2021-01-26
-0.469941560646146,2021-01-26
-0.542516658107679,2021-01-26
-0.555820267903902,2021-01-26
-0.651694623541534,2021-01-26
-0.559804693588781,2021-01-26
-0.563876054093062,2021-01-26
